City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Faanui,PF,81.5,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
5,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Rikitea,PF,77.92,light rain,-23.1203,-134.9692,Pension Maro'i
14,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
15,Butaritari,KI,82.98,broken clouds,3.0707,172.7902,Isles Sunset Lodge
21,Atuona,PF,80.08,light rain,-9.8,-139.0333,Villa Enata
22,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
33,Bambous Virieux,MU,75.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
37,Mayor Pablo Lagerenza,PY,79.16,overcast clouds,-19.9309,-60.7718,
47,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
48,Chochola,MX,82.4,broken clouds,20.75,-89.8333,Chablé Yucatán
51,Quatre Cocos,MU,75.0,broken clouds,-20.2078,57.7625,Veranda Palmar Beach Hotel
58,San Carlos,VE,80.64,broken clouds,9.6612,-68.5827,Hotel Paternopoli
59,Cayenne,GF,79.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
62,Pouembout,NC,80.6,overcast clouds,-21.1333,164.9,Camping de Tipenga
67,Alugan,PH,83.41,broken clouds,12.2188,125.4808,JM Lodge
77,Kavaratti,IN,83.73,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
78,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
90,Minab,IR,82.4,haze,27.1467,57.0801,Bam campground
91,Avarua,CK,78.8,broken clouds,-21.2078,-159.775,Paradise Inn
94,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.0833,Scoop Guest House
102,Ugoofaaru,MV,83.66,few clouds,5.6667,73.0,Ungoofaaru Inn
106,Santa Rita,BR,75.2,clear sky,-7.1139,-34.9781,Infinity Motel
110,Eyl,SO,83.14,light rain,7.9803,49.8164,Amiin Hotel
114,Mani,CO,79.45,scattered clouds,4.8172,-72.2886,Hotel Belgrado
123,Salto De Agua,MX,80.6,scattered clouds,17.6167,-92.3667,
129,Ahuimanu,US,82.4,few clouds,21.4447,-157.8378,Paradise Bay Resort
130,Roebourne,AU,88.99,clear sky,-20.7833,117.1333,Harding River Caravan Park
135,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
