City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Faanui,-16.4833,-151.75,81.5,71,11,13.27,PF,few clouds
1,Kavieng,-2.5744,150.7967,82.29,76,90,7.78,PG,light rain
2,Severo-Kurilsk,50.6789,156.125,35.4,92,82,3.38,RU,broken clouds
3,La Ronge,55.1001,-105.2842,23.0,46,55,4.61,CA,broken clouds
4,Thompson,55.7435,-97.8558,17.6,67,90,13.8,CA,light snow
5,Puerto Ayora,-0.7393,-90.3518,77.0,94,44,4.0,EC,scattered clouds
6,Tornio,65.8481,24.1466,33.8,93,90,13.8,FI,snow
7,Ueda,36.4,138.2667,73.0,4,22,3.0,JP,few clouds
8,Amazar,53.858,120.875,40.03,21,45,6.96,RU,scattered clouds
9,Rikitea,-23.1203,-134.9692,77.92,78,100,14.05,PF,light rain
10,Mataura,-46.1927,168.8643,52.0,91,100,7.0,NZ,overcast clouds
11,Cape Town,-33.9258,18.4232,57.2,94,20,11.5,ZA,few clouds
12,Albany,42.6001,-73.9662,37.0,44,8,12.8,US,clear sky
13,Gat,31.61,34.7642,60.01,78,0,5.7,IL,clear sky
14,Noumea,-22.2763,166.4572,81.0,73,90,10.36,NC,overcast clouds
15,Butaritari,3.0707,172.7902,82.98,72,70,8.81,KI,broken clouds
16,Hobart,-42.8794,147.3294,59.0,51,75,13.8,AU,broken clouds
17,Muros,42.7762,-9.0603,51.01,94,100,6.82,ES,overcast clouds
18,Upernavik,72.7868,-56.1549,13.51,87,99,3.36,GL,overcast clouds
19,Ushuaia,-54.8,-68.3,41.0,93,75,10.36,AR,broken clouds
20,East London,-33.0153,27.9116,60.8,88,0,5.75,ZA,clear sky
21,Atuona,-9.8,-139.0333,80.08,81,87,20.89,PF,light rain
22,Vaini,-21.2,-175.2,86.0,79,75,4.61,TO,light rain
23,Hermanus,-34.4187,19.2345,55.0,94,0,1.01,ZA,clear sky
24,Ina,35.8276,137.9538,73.0,14,0,4.61,JP,clear sky
25,Port Alberni,49.2413,-124.8028,59.0,54,28,1.14,CA,scattered clouds
26,Almaznyy,48.0448,40.045,48.2,87,20,4.47,RU,few clouds
27,Port Alfred,-33.5906,26.891,66.07,80,1,19.55,ZA,clear sky
28,Camargo,27.6667,-105.1667,73.87,8,100,21.85,MX,overcast clouds
29,Bredasdorp,-34.5322,20.0403,55.4,94,3,8.05,ZA,clear sky
30,Almazar,40.3217,69.0106,59.0,58,2,15.66,UZ,clear sky
31,Ponta Do Sol,32.6667,-17.1,61.0,86,81,3.0,PT,broken clouds
32,Nkongsamba,4.9547,9.9404,67.73,99,100,0.98,CM,overcast clouds
33,Bambous Virieux,-20.3428,57.7575,75.0,94,75,3.44,MU,broken clouds
34,Bethel,41.3712,-73.414,37.0,64,51,10.8,US,broken clouds
35,Barrow,71.2906,-156.7887,24.8,80,1,6.91,US,clear sky
36,Wageningen,51.9667,5.6667,36.0,93,20,1.14,NL,few clouds
37,Mayor Pablo Lagerenza,-19.9309,-60.7718,79.16,61,98,7.18,PY,overcast clouds
38,Te Anau,-45.4167,167.7167,49.75,90,100,5.68,NZ,overcast clouds
39,Longford,53.7333,-7.8,36.45,81,79,5.97,IE,broken clouds
40,Busselton,-33.65,115.3333,74.01,39,62,3.06,AU,broken clouds
41,Port Hardy,50.6996,-127.4199,55.4,41,75,9.22,CA,broken clouds
42,Sao Borja,-28.6606,-56.0044,65.43,72,87,7.63,BR,overcast clouds
43,Yicheng,31.3705,119.8703,59.0,99,94,4.52,CN,overcast clouds
44,Toora-Khem,52.4675,96.11,34.83,36,100,4.27,RU,overcast clouds
45,Ahipara,-35.1667,173.1667,66.56,81,87,5.59,NZ,overcast clouds
46,New Norfolk,-42.7826,147.0587,55.99,66,98,4.0,AU,overcast clouds
47,Kapaa,22.0752,-159.319,78.8,69,40,8.05,US,scattered clouds
48,Chochola,20.75,-89.8333,82.4,74,75,12.66,MX,broken clouds
49,Tuktoyaktuk,69.4541,-133.0374,12.2,73,20,2.3,CA,few clouds
50,Tiksi,71.6872,128.8694,18.77,83,100,3.89,RU,overcast clouds
51,Quatre Cocos,-20.2078,57.7625,75.0,94,75,3.44,MU,broken clouds
52,Zima,53.9202,102.0442,40.28,30,93,7.78,RU,overcast clouds
53,Kapit,2.0167,112.9333,92.59,48,61,0.89,MY,broken clouds
54,Tommot,58.9564,126.2925,33.49,77,85,15.55,RU,overcast clouds
55,San Blas,21.5167,-105.2667,72.32,71,100,1.32,MX,overcast clouds
56,Linares,-35.85,-71.6,52.12,89,53,3.33,CL,broken clouds
57,Coihaique,-45.5752,-72.0662,41.0,93,40,6.91,CL,scattered clouds
58,San Carlos,9.6612,-68.5827,80.64,62,84,4.47,VE,broken clouds
59,Cayenne,4.9333,-52.3333,79.0,94,75,4.61,GF,broken clouds
60,Provideniya,64.3833,-173.3,41.0,48,0,11.18,RU,clear sky
61,Aksu,41.1231,80.2644,54.03,23,3,6.93,CN,clear sky
62,Pouembout,-21.1333,164.9,80.6,74,97,7.94,NC,overcast clouds
63,Kutum,14.2,24.6667,72.91,21,88,6.4,SD,overcast clouds
64,Lebu,-37.6167,-73.65,49.82,78,45,4.05,CL,scattered clouds
65,Ribeira Grande,38.5167,-28.7,57.2,75,16,34.85,PT,few clouds
66,Portland,45.5234,-122.6762,60.8,51,40,8.05,US,scattered clouds
67,Alugan,12.2188,125.4808,83.41,75,62,8.23,PH,broken clouds
68,Aasiaat,68.7098,-52.8699,13.41,91,56,7.99,GL,broken clouds
69,Saint George,37.1041,-113.5841,68.0,17,1,4.61,US,clear sky
70,Mar Del Plata,-38.0023,-57.5575,68.0,1,99,8.01,AR,light rain
71,Kununurra,-15.7667,128.7333,91.4,33,54,12.66,AU,broken clouds
72,Paso De Carrasco,-34.8603,-56.0522,66.99,77,0,12.66,UY,clear sky
73,Amga,60.8953,131.9608,31.51,69,100,8.48,RU,light snow
74,Faya,18.3851,42.4509,55.4,44,0,2.51,SA,clear sky
75,Cherskiy,68.75,161.3,18.16,85,95,5.12,RU,overcast clouds
76,Iqaluit,63.7506,-68.5145,21.2,86,90,4.63,CA,overcast clouds
77,Kavaratti,10.5669,72.642,83.73,67,15,4.14,IN,few clouds
78,Hilo,19.7297,-155.09,80.6,54,40,10.36,US,scattered clouds
79,Longyearbyen,78.2186,15.6401,17.6,62,75,4.61,SJ,broken clouds
80,Loukhi,66.0764,33.0381,35.06,82,100,3.51,RU,overcast clouds
81,Ramon,16.7842,121.535,90.12,50,64,5.03,PH,broken clouds
82,Fort Saint James,54.4333,-124.25,37.13,51,9,3.04,CA,clear sky
83,Kahului,20.8947,-156.47,80.6,57,20,24.16,US,few clouds
84,Shingu,33.7333,135.9833,69.8,60,75,6.91,JP,broken clouds
85,Castro,-24.7911,-50.0119,51.08,95,22,2.46,BR,few clouds
86,Omboue,-1.5746,9.2618,74.14,93,100,7.23,GA,overcast clouds
87,Talaya,61.3833,152.75,31.17,78,100,7.63,RU,overcast clouds
88,Fairbanks,64.8378,-147.7164,53.6,40,1,13.8,US,clear sky
89,Marquette,46.5333,-87.6335,41.0,67,12,6.29,US,few clouds
90,Minab,27.1467,57.0801,82.4,61,2,4.61,IR,haze
91,Avarua,-21.2078,-159.775,78.8,78,75,20.71,CK,broken clouds
92,Torbay,47.6666,-52.7314,42.01,100,90,16.11,CA,light rain
93,Talara,-4.5772,-81.2719,71.87,77,72,14.67,PE,broken clouds
94,Hithadhoo,-0.6,73.0833,83.08,71,90,6.31,MV,overcast clouds
